Protocol,SrcIP,SrcPort,DestIP,DestPort,Extra,Bytes
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,66
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,PSH,80
TCP,10.72.100.139,47802,10.72.100.83,24800,ACK,PSH,74
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,66
TCP,10.72.100.139,36946,10.72.136.20,24800,SYN,74
TCP,10.72.136.20,24800,10.72.100.139,36946,SYN,ACK,74
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,66
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,PSH,81
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,PSH,96
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,PSH,74
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,PSH,84
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,PSH,88
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,PSH,74
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,PSH,74
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,FIN,66
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,66
TCP,10.72.136.20,24800,10.72.100.139,36946,ACK,FIN,66
TCP,10.72.100.139,36946,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36958,10.72.136.20,24800,SYN,74
TCP,10.72.136.20,24800,10.72.100.139,36958,SYN,ACK,74
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,66
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,PSH,81
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,PSH,96
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,PSH,74
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,PSH,84
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,PSH,88
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,PSH,74
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,PSH,74
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,FIN,66
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,66
TCP,10.72.136.20,24800,10.72.100.139,36958,ACK,FIN,66
TCP,10.72.100.139,36958,10.72.136.20,24800,ACK,66
UDP,192.168.0.100,64384,192.168.0.255,1947,len=48,82
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,PSH,74
TCP,10.72.100.139,47802,10.72.100.83,24800,ACK,PSH,82
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,66
TCP,10.72.100.139,36966,10.72.136.20,24800,SYN,74
TCP,10.72.136.20,24800,10.72.100.139,36966,SYN,ACK,74
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,66
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,PSH,81
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,PSH,96
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,PSH,74
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,PSH,84
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,PSH,88
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,PSH,74
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,PSH,74
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,66
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,FIN,66
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,66
TCP,10.72.136.20,24800,10.72.100.139,36966,ACK,FIN,66
TCP,10.72.100.139,36966,10.72.136.20,24800,ACK,66
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,PSH,80
TCP,10.72.100.139,47802,10.72.100.83,24800,ACK,PSH,74
TCP,10.72.100.83,24800,10.72.100.139,47802,ACK,66

Final summary:
Total Packets: 62, Bytes: 5151
